date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:56:02	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2002%20Jul%202024%2014:56:50%20GMT	https://ipsusa.net/robots.txt		(from )
07:56:03	111258/111258	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:56:49%20GMT	https://ipsusa.net/	C:/My%20Web%20Sites/techverse/ipsusa.net/index.html	(from )
07:56:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jul%202024%2014:56:51%20GMT	https://www.ipsusa.net/old/wp-content/uploads/2018/06/favicon-32x32.png	C:/My%20Web%20Sites/techverse/www.ipsusa.net/old/wp-content/uploads/2018/06/favicon-32x32.0.delayed	(from https://ipsusa.net/)
07:56:05	77109/77109	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jul%202024%2014:56:52%20GMT	https://ipsusa.net/old/wp-content/uploads/2018/06/favicon-32x32.png	C:/My%20Web%20Sites/techverse/ipsusa.net/old/wp-content/uploads/2018/06/favicon-32x32.png	(from https://ipsusa.net/)
07:56:06	200262/200262	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Jun%202022%2010:47:42%20GMT	https://ipsusa.net/wp-content/uploads/2022/06/IPS-USA-Let-us-boost-your-Business.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2022/06/IPS-USA-Let-us-boost-your-Business.jpg	(from https://ipsusa.net/)
07:56:06	113381/113381	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Apr%202024%2022:48:17%20GMT	https://ipsusa.net/wp-includes/css/dist/block-library/style.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-includes/css/dist/block-library/style.minadc6.css	(from https://ipsusa.net/)
07:56:07	8011/8011	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2001:52:44%20GMT	https://ipsusa.net/wp-content/plugins/contact-form-7-multi-step-pro/assets/frontend/css/cf7mls.css?ver=2.5.4	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/contact-form-7-multi-step-pro/assets/frontend/css/cf7mls21bb.css	(from https://ipsusa.net/)
07:56:07	85654/85654	---MC-	200	added ('OK')	application/rss+xml	etag:%22c4d88040c0444c66f42c3bcf1ddc4b74%22	https://ipsusa.net/feed/	C:/My%20Web%20Sites/techverse/ipsusa.net/feed/index.html	(from https://ipsusa.net/)
07:56:07	8479/8479	---MC-	200	added ('OK')	application/rss+xml	etag:%22c4d88040c0444c66f42c3bcf1ddc4b74%22	https://ipsusa.net/comments/feed/	C:/My%20Web%20Sites/techverse/ipsusa.net/comments/feed/index.html	(from https://ipsusa.net/)
07:56:07	752/752	---MC-	200	added ('OK')	application/rss+xml	etag:%22c4d88040c0444c66f42c3bcf1ddc4b74%22	https://ipsusa.net/front-page/feed/	C:/My%20Web%20Sites/techverse/ipsusa.net/front-page/feed/index.html	(from https://ipsusa.net/)
